src_fm_fc_ms_ff,target
"org . junit . Assert . assertTrue ( true )
",org . junit <mask> <mask> . assertTrue ( true )
"org . junit . Assert . assertTrue ( answer . getResult ( ) )
",org . <mask> . Assert . assertTrue <mask> answer . getResult ( ) )
"org . junit . Assert . assertEquals ( array . values ( ) , values )
",org . junit . Assert . assertEquals <mask> array . values ( ) <mask> values <mask>
"org . junit . Assert . assertFalse ( manager . isAborted ( ) )
",org . junit <mask> Assert . assertFalse ( <mask> . isAborted ( ) )
"org . junit . Assert . assertNotNull ( result )
",org . junit . Assert . assertNotNull <mask> result <mask>
"org . junit . Assert . assertThat ( ddf . security . pdp . realm . xacml . XacmlPdpTest . testRealm . isPermitted ( request ) , org . hamcrest . Matchers . equalTo ( false ) )
","org . junit . Assert . assertThat ( ddf . security . pdp <mask> realm . <mask> <mask> XacmlPdpTest . testRealm . isPermitted ( request ) , org . <mask> . Matchers . <mask> <mask> false ) )"
"org . junit . Assert . assertSame ( result , message )
","<mask> . junit <mask> Assert . assertSame ( result , message )"
"org . junit . Assert . assertEquals ( 1 , count )
","org <mask> junit <mask> Assert . assertEquals ( 1 , count )"
"org . junit . Assert . assertTrue ( true )
",<mask> . junit . <mask> . assertTrue ( true )
"org . junit . Assert . assertEquals ( 2 , customizer . addingBundle ( implBundle , null ) . size ( ) )
","org . junit . Assert . assertEquals ( 2 , customizer <mask> addingBundle ( implBundle , null <mask> <mask> size <mask> ) )"
"org . junit . Assert . assertThat ( cfg . isVariableColumns ( ) , org . hamcrest . core . Is . is ( false ) )
","org . junit <mask> Assert <mask> assertThat <mask> <mask> . isVariableColumns ( ) , org . <mask> . core . Is . is ( false ) )"
"org . junit . Assert . assertEquals ( result , org . kie . workbench . common . stunner . core . graph . util . ExceptionsTest . DEFAULT_RESULT )
","org . junit <mask> Assert . assertEquals <mask> result , org . kie . workbench . common <mask> stunner . core . graph <mask> util . ExceptionsTest <mask> DEFAULT_RESULT )"
"org . junit . Assert . assertFalse ( agentAttache1 . equals ( agentAttache2 ) )
",org . <mask> . <mask> . assertFalse <mask> agentAttache1 . equals ( agentAttache2 ) )
"org . junit . Assert . assertEquals ( encs . size ( ) , 2 )
","<mask> . junit . Assert <mask> assertEquals ( encs . <mask> ( ) , 2 )"
"org . junit . Assert . assertTrue ( jsonExpected . equals ( jsonPerson ) )
",org <mask> junit . <mask> . assertTrue ( <mask> . equals ( jsonPerson ) )
"org . junit . Assert . assertEquals ( actualBundle , bundle )
","org . junit . <mask> . <mask> ( actualBundle , bundle )"
"org . junit . Assert . assertNull ( document )
",org . junit . Assert . assertNull <mask> document <mask>
"org . junit . Assert . assertEquals ( buttonText , clickMe . getText ( ) )
","org . <mask> . <mask> . assertEquals ( buttonText , clickMe <mask> getText ( ) )"
"org . junit . Assert . assertEquals ( expected , actual )
","org . junit . <mask> . assertEquals ( expected , actual <mask>"
"org . junit . Assert . assertEquals ( 2 , rules )
",org . junit . Assert . assertEquals ( <mask> <mask> rules )
"org . junit . Assert . assertEquals ( 50 , cap . get ( 0 ) )
","org <mask> junit . <mask> . <mask> ( 50 , cap . get ( 0 ) )"
"org . junit . Assert . assertTrue ( ( ( filteredSet . size ( ) ) == 1 ) )
",org <mask> junit . Assert . <mask> ( <mask> ( filteredSet . size ( ) ) == <mask> ) )
"org . junit . Assert . assertNotNull ( cs )
",org . junit . Assert <mask> assertNotNull ( <mask> )
"org . junit . Assert . assertThat ( org . slim3 . util . DateUtil . clearDatePart ( cal2 ) , org . hamcrest . CoreMatchers . is ( cal ) )
","org . junit . Assert . assertThat ( org <mask> slim3 . util . <mask> . clearDatePart ( cal2 ) , org . hamcrest . <mask> . <mask> ( cal ) <mask>"
"org . junit . Assert . assertThat ( method . invoke ( obj ) , is ( ( ( java . lang . Object ) ( ""hello"" ) ) ) )
","org . junit . Assert . assertThat ( method . invoke <mask> obj ) , is ( ( <mask> <mask> . lang . Object ) <mask> ""hello"" <mask> ) <mask> )"
"org . junit . Assert . assertSame ( status , tester . getLastStatus ( ) )
","org . <mask> . Assert . assertSame <mask> <mask> , tester . getLastStatus ( ) )"
"org . junit . Assert . assertEquals ( expResult , result )
",org <mask> junit . Assert . assertEquals ( expResult <mask> result )
"org . junit . Assert . assertThat ( tsp , org . hamcrest . CoreMatchers . is ( net . time4j . PlainTimestamp . of ( 2014 , 8 , 19 , 21 , 45 ) . atUTC ( ) ) )
","org . junit <mask> Assert <mask> assertThat ( tsp , org . hamcrest . CoreMatchers <mask> is ( net <mask> <mask> . PlainTimestamp <mask> of ( 2014 , 8 , 19 , 21 , 45 <mask> . atUTC ( ) ) )"
"org . junit . Assert . assertTrue ( equals )
",org . junit . Assert <mask> <mask> ( equals )
"org . junit . Assert . assertEquals ( 16 , graph . getEdges ( ) . size ( ) )
","org . junit <mask> <mask> . assertEquals ( 16 , graph . getEdges ( ) . size ( <mask> )"
"org . junit . Assert . assertEquals ( 3 , _pushReceiver . getResult ( ) . size ( ) )
","org . <mask> . <mask> . assertEquals ( 3 , _pushReceiver . getResult ( ) . size ( <mask> )"
"org . junit . Assert . assertEquals ( 0 , sources . size ( ) )
","<mask> <mask> junit . Assert . assertEquals ( 0 , sources . size <mask> ) )"
"org . junit . Assert . assertEquals ( WeightTypes . WEIGHT , ew . type )
","<mask> . junit <mask> <mask> . assertEquals ( WeightTypes . WEIGHT , ew . type )"
"org . junit . Assert . assertNotNull ( siteEntity . getUuid ( ) )
",org . junit . Assert <mask> assertNotNull ( siteEntity <mask> getUuid ( ) )
"org . junit . Assert . assertEquals ( val , reader . getString ( ) )
","<mask> . junit . Assert <mask> assertEquals <mask> val , reader . getString ( ) )"
"org . junit . Assert . assertEquals ( expected , actual )
","org . junit . Assert <mask> assertEquals ( expected , <mask> )"
"org . junit . Assert . assertNotNull ( scriptStatement )
",org . junit <mask> Assert . assertNotNull ( <mask> )
"org . junit . Assert . assertNotNull ( clazz )
",org . <mask> <mask> Assert . assertNotNull ( clazz )
"org . junit . Assert . assertThat ( unconsumedSeenAsInput . get ( ) , org . hamcrest . Matchers . is ( true ) )
","org . <mask> . Assert . <mask> ( <mask> . get ( ) , <mask> . hamcrest . <mask> . is ( true ) )"
"org . junit . Assert . assertEquals ( 1 , names . size ( ) )
","<mask> . junit . Assert . assertEquals ( 1 , <mask> . <mask> ( ) )"
"org . junit . Assert . assertSame ( org . joda . money . TestBigMoney . GBP_2_34 , test )
","<mask> . <mask> . Assert . assertSame ( org . joda . <mask> . TestBigMoney . <mask> , test )"
"org . junit . Assert . assertEquals ( """" , normalizeArchiveName )
","org <mask> junit . Assert . assertEquals ( """" , normalizeArchiveName <mask>"
"org . junit . Assert . assertEquals ( ""b"" , iter . next ( ) )
","org <mask> <mask> . Assert . assertEquals ( ""b"" , iter . next ( ) )"
"org . junit . Assert . assertNotNull ( buffer )
",org <mask> junit . <mask> . assertNotNull ( buffer )
"org . junit . Assert . assertEquals ( 0 , results . size ( ) )
","org . junit . <mask> . assertEquals ( <mask> , results . size ( <mask> )"
"org . junit . Assert . assertNotNull ( method )
",org . <mask> . Assert . <mask> ( method )
"org . junit . Assert . assertEquals ( true , chmod . isRecursive ( ) )
","org . <mask> . Assert . assertEquals ( true , chmod . isRecursive <mask> <mask> )"
"org . junit . Assert . assertEquals ( expected , result )
","<mask> . junit . Assert . assertEquals ( expected , <mask> )"
"org . junit . Assert . assertEquals ( org . sing_group . gc4s . utilities . MatrixUtilsTest . MEDIANS_NANS [ i ] , mean , 0.0 )
","<mask> <mask> junit . Assert . <mask> ( org . sing_group . gc4s . utilities . <mask> . MEDIANS_NANS [ i ] , mean , 0.0 )"
"org . junit . Assert . assertTrue ( result )
",<mask> . junit . Assert <mask> assertTrue ( result )
"org . junit . Assert . assertEquals ( jsc , jscs . get ( 0 ) )
","<mask> . junit . <mask> . assertEquals ( jsc , jscs . get ( <mask> ) )"
"org . junit . Assert . assertThat ( range1 . isFinite ( ) , equalTo ( false ) )
","<mask> . junit . Assert . assertThat ( <mask> . isFinite ( ) , equalTo ( false ) <mask>"
"org . junit . Assert . assertEquals ( ""1"" , counter . getText ( ) )
","org . junit . Assert . assertEquals ( <mask> , counter <mask> <mask> ( ) )"
"org . junit . Assert . assertEquals ( diffAnswer . getRows ( ) . size ( ) , 0 )
","<mask> . <mask> . Assert . assertEquals ( diffAnswer <mask> getRows ( ) . size <mask> ) , 0 )"
"org . junit . Assert . assertNotNull ( erkenningVerzoekBericht . getBrpPersoonslijst ( ) )
",org . junit . Assert <mask> assertNotNull <mask> erkenningVerzoekBericht . getBrpPersoonslijst ( ) )
"org . junit . Assert . assertEquals ( 0 , result . getSize ( ) )
","org . junit . <mask> . assertEquals ( 0 , result . getSize ( ) <mask>"
"org . junit . Assert . assertTrue ( validationResult . hasError ( ) )
",org . <mask> . Assert . assertTrue ( validationResult . hasError ( <mask> )
"org . junit . Assert . assertEquals ( res , output )
","<mask> . junit . Assert . assertEquals ( res , output <mask>"
"org . junit . Assert . assertEquals ( result . size ( ) , 1 )
","<mask> . junit . Assert . assertEquals ( result . <mask> ( ) , 1 <mask>"
"org . junit . Assert . assertEquals ( expectedNames , names )
","org . junit . Assert . assertEquals ( expectedNames , <mask> <mask>"
"org . junit . Assert . assertNotNull ( mechanism )
",org <mask> junit . Assert . assertNotNull <mask> mechanism )
"org . junit . Assert . assertEquals ( 1 , issues . size ( ) )
","org <mask> <mask> . Assert <mask> assertEquals ( 1 , issues . size ( ) )"
"org . junit . Assert . assertNotNull ( store . get ( key , new java . lang . String [ 0 ] ) )
",org . junit . Assert . assertNotNull <mask> store . get ( key <mask> new java . lang . String [ <mask> ] <mask> <mask>
"org . junit . Assert . assertTrue ( isSubtypeOf )
",<mask> . junit . Assert . <mask> ( isSubtypeOf )
"org . junit . Assert . assertEquals ( 2 , values . length )
",org . junit . Assert . assertEquals <mask> 2 <mask> values . length )
"org . junit . Assert . assertEquals ( expected , nl . jqno . equalsverifier . internal . prefabvalues . TypeTagTest . SOME_LONG_TYPETAG . getGenericTypes ( ) )
","org . junit . Assert . assertEquals ( expected , <mask> . jqno . equalsverifier . internal . prefabvalues . TypeTagTest . SOME_LONG_TYPETAG . getGenericTypes <mask> ) )"
"org . junit . Assert . assertEquals ( 1 , kandidaten . size ( ) )
","org . junit . Assert . assertEquals ( 1 , kandidaten <mask> <mask> <mask> ) )"
"org . junit . Assert . assertEquals ( 2 , text . getCaretOffset ( ) )
","<mask> . junit . Assert . assertEquals ( <mask> , text . getCaretOffset ( ) <mask>"
"org . junit . Assert . assertThat ( classList . size ( ) , org . hamcrest . CoreMatchers . is ( 1 ) )
",org . junit . Assert . assertThat ( classList . <mask> ( <mask> <mask> org . hamcrest <mask> <mask> . is ( 1 ) )
"org . junit . Assert . assertEquals ( expResult , result )
","org <mask> <mask> . Assert . assertEquals ( expResult , result )"
"org . junit . Assert . assertEquals ( original , parsed )
","org <mask> junit <mask> Assert . assertEquals ( original , parsed )"
"org . junit . Assert . assertTrue ( ( ( clock . millis ( ) ) > t0 ) )
",org . junit <mask> Assert . assertTrue ( ( ( <mask> . millis ( ) ) > t0 <mask> <mask>
"org . junit . Assert . assertNull ( commands )
",org . junit <mask> Assert . assertNull ( commands <mask>
"org . junit . Assert . assertEquals ( 0 , count ( graph . vertices ( ) ) )
","org <mask> junit . <mask> . assertEquals ( <mask> , count ( graph . vertices ( ) ) )"
"org . junit . Assert . assertEquals ( false , com . cloud . utils . net . NetUtils . isNetworkAWithinNetworkB ( """" , null ) )
","org . <mask> . <mask> <mask> assertEquals ( false , com <mask> <mask> . utils . net . NetUtils . isNetworkAWithinNetworkB ( """" , null ) )"
"org . junit . Assert . assertEquals ( securityName , com . ibm . ws . security . wim . adapter . ldap . fat . URAPIs_SUNLDAPTest . servlet . getUserSecurityName ( user ) )
","org . junit . Assert . assertEquals ( securityName , com . ibm . <mask> . security . wim . adapter . ldap <mask> fat . <mask> <mask> servlet <mask> getUserSecurityName ( user ) )"
"org . junit . Assert . assertEquals ( expected , actual )
",org . junit . Assert <mask> assertEquals ( expected <mask> actual )
"org . junit . Assert . assertNotNull ( output )
",org . junit . <mask> . <mask> ( output )
"org . junit . Assert . assertEquals ( 0 , result . size ( ) )
","org <mask> junit . Assert . assertEquals ( 0 , result <mask> size <mask> ) )"
"org . junit . Assert . assertTrue ( ( ( e . getCause ( ) ) instanceof java . io . IOException ) )
",org . junit . Assert . assertTrue ( <mask> ( e . getCause ( <mask> ) instanceof java . io . IOException <mask> )
"org . junit . Assert . assertEquals ( expectedPath . get ( i ) , shortestPath . get ( i ) . getProperty ( ""label"" ) )
","org . <mask> . <mask> . assertEquals ( expectedPath . get ( i ) <mask> shortestPath <mask> <mask> ( i ) . getProperty ( ""label"" ) )"
"org . junit . Assert . assertThat ( sampledValue . getUnit ( ) , org . hamcrest . CoreMatchers . equalTo ( unitOfMeasure ) )
","org . junit . Assert . assertThat ( sampledValue . getUnit ( ) , org <mask> <mask> . CoreMatchers . equalTo ( unitOfMeasure <mask> <mask>"
"org . junit . Assert . assertEquals ( Result . FAIL , user . apply ( item ) )
","org . junit . Assert . <mask> ( Result . FAIL , user <mask> apply ( item ) )"
"org . junit . Assert . assertNotNull ( value )
",<mask> . junit . <mask> . assertNotNull ( value )
"org . junit . Assert . assertEquals ( expr . getType ( ) , o . getClass ( ) )
",org <mask> junit . Assert . assertEquals ( expr . <mask> ( ) <mask> o . <mask> ( ) )
"org . junit . Assert . assertEquals ( response , resResponse )
","org . <mask> . Assert . assertEquals ( <mask> , resResponse )"
"org . junit . Assert . assertNull ( actualEventBo )
",org . <mask> . Assert . <mask> ( actualEventBo )
"org . junit . Assert . assertEquals ( 0 , list . size ( ) )
",org . junit . Assert <mask> assertEquals ( <mask> <mask> list . size ( ) )
"org . junit . Assert . assertEquals ( expectedSource , instrumentedSource )
","org . junit . Assert . assertEquals ( <mask> , instrumentedSource <mask>"
"org . junit . Assert . assertEquals ( ""100px"" , c . getWidth ( ) )
","org . junit . Assert <mask> assertEquals ( ""100px"" , c . getWidth <mask> <mask> )"
"org . junit . Assert . assertFalse ( fixture . isDone ( ) )
",org . junit . Assert <mask> assertFalse ( fixture . isDone ( ) <mask>
"org . junit . Assert . assertEquals ( check , result )
","org <mask> junit . Assert . <mask> ( check , result )"
"org . junit . Assert . assertNotNull ( """" , processQuery )
","org . junit <mask> Assert . assertNotNull ( <mask> , processQuery )"
"org . junit . Assert . assertEquals ( result . size ( ) , 0 )
","org <mask> junit . Assert <mask> assertEquals ( result . size ( ) , <mask> )"
"org . junit . Assert . assertTrue ( allProgressed )
",<mask> . junit . Assert <mask> assertTrue ( allProgressed )
"org . junit . Assert . assertEquals ( ( numCalls + 1 ) , newNumCalls )
",org . junit . Assert . <mask> ( ( numCalls + 1 ) <mask> newNumCalls <mask>
"org . junit . Assert . assertEquals ( expected , actual )
","org . <mask> . Assert <mask> assertEquals ( expected , actual )"
"org . junit . Assert . assertEquals ( name , metaInfo . getName ( ) )
","org <mask> junit . <mask> . assertEquals ( <mask> , metaInfo . getName ( ) )"
"org . junit . Assert . assertThat ( score , org . hamcrest . CoreMatchers . is ( 0 ) )
",org . junit <mask> Assert . <mask> ( score <mask> org . hamcrest . CoreMatchers . <mask> ( 0 ) )
"org . junit . Assert . assertSame ( firstOption , firstSelected )
",org . junit . Assert . assertSame ( firstOption <mask> <mask> )
